{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 72, 'username': 'NT AUTHORITY\\SYSTEM', 'name': ''}
{'pid': 96, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 132, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Registry'}
{'pid': 244, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 492, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'smss.exe'}
{'pid': 696, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'csrss.exe'}
{'pid': 808, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'wininit.exe'}
{'pid': 856, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'services.exe'}
{'pid': 868, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'csrss.exe'}
{'pid': 916, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'LsaIso.exe'}
{'pid': 928, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'lsass.exe'}
{'pid': 948, 'username': 'Font Driver Host\\UMFD-0', 'name': 'fontdrvhost.exe'}
{'pid': 1068, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'pid': 1152, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 1160, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'winlogon.exe'}
{'pid': 1168, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 1240, 'username': 'Font Driver Host\\UMFD-1', 'name': 'fontdrvhost.exe'}
{'pid': 1360, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 1368, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1372, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1376, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1532, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1632, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1640, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 1668, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 1692, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1744, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1752, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 1760, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'IntelCpHDCPSvc.exe'}
{'pid': 1776, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 1900, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'vmware-tray.exe'}
{'pid': 2100, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 2108, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'IntelCpHeciSvc.exe'}
{'pid': 2144, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'pid': 2164, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 2192, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 2200, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 2232, 'username': 'Window Manager\\DWM-1', 'name': 'dwm.exe'}
{'pid': 2248, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'ApplicationFrameHost.exe'}
{'pid': 2296, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 2312, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 2356, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 2364, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
{'pid': 2468, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'SystemSettings.exe'}
{'pid': 2548, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 2588, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 2632, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'NVDisplay.Container.exe'}
{'pid': 2676, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 2732, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
